      player_id       player_name  Tier  Final_agg_score  agg_PR_score  agg_RunD_score  Situational_score        apy                  Role    Est_APY    Pay_flag  Tier_APY_Z
0    00-0033935     T.Hendrickson     0       830.913673     19.585509       16.751663         136.733333  28.000000              Balanced  40.412824   UnderPaid   -1.151939
1    00-0033886            T.Watt     0       797.993348     16.043542       18.978028         127.200000  41.000000            Every-Down  41.270251  FairlyPaid    0.645086
2    00-0033868         M.Garrett     0       783.692030     17.970618       18.721906         137.666667  40.000000            Every-Down  38.482616  FairlyPaid    0.506853
3    00-0035717            N.Bosa     1       677.163073     18.598907       21.117690         124.333333  34.000000            Every-Down  37.910775  FairlyPaid    0.413801
4    00-0031040            K.Mack     1       656.654153     13.958717       17.593841         112.733333  18.000000            Every-Down  35.995939   UnderPaid   -0.992353
5    00-0031565          D.Hunter     1       647.919267     14.155318       19.442019         112.733333  40.100000            Every-Down  35.180398  FairlyPaid    0.949897
6    00-0034973          M.Crosby     1       646.627029     13.603022       21.766666         123.800000  35.500000            Every-Down  35.059747  FairlyPaid    0.545628
7    00-0036932         M.Parsons     1       640.330788     16.430084       18.473627         111.000000  46.500000            Every-Down  34.471892    OverPaid    1.512359
8    00-0037236      A.Hutchinson     1       604.738979     18.070403       17.305059          89.800000  45.000000              Balanced  26.397312    OverPaid    1.380532
9    00-0037192       G.Karlaftis     1       597.345849     13.008957       14.705722         107.133333  22.000000  Pass-Rush Specialist  24.521723  FairlyPaid   -0.640815
10   00-0034967            R.Gary     1       559.777175     14.979347       19.699875          92.133333  24.000000            Every-Down  26.950926  FairlyPaid   -0.465045
11   00-0033875         H.Reddick     1       551.925763     12.075641       13.699577         127.200000  14.000000  Pass-Rush Specialist  21.107608   UnderPaid   -1.343892
12   00-0034381           J.Sweat     1       542.814513     14.083913       17.363898          98.666667  19.100000              Balanced  21.497619  FairlyPaid   -0.895680
13   00-0035642     J.Hines-Allen     1       541.108106     13.659966       16.792282          91.866667  24.007000              Balanced  21.362602  FairlyPaid   -0.464430
14   00-0039108        W.Anderson     2       526.027907     18.125501       21.311147          87.000000   8.803205            Every-Down  25.702712   UnderPaid   -0.145047
15   00-0036914        G.Rousseau     2       523.101106     14.006351       21.235569          77.200000  20.000000            Every-Down  25.439915   UnderPaid    1.454999
16   00-0032052          D.Fowler     2       519.079827     15.184907       19.069866          73.333333   6.000000            Every-Down  25.078845   UnderPaid   -0.545630
17   00-0033072           L.Floyd     2       493.512636     13.749966       16.219387          82.133333  10.000000              Balanced  19.307773   UnderPaid    0.025978
18   00-0035272      A.Van Ginkel     2       489.058778      9.870760       23.695956          62.133333  23.000000          Run Defender  17.071979    OverPaid    1.883705
19   00-0033156            J.Bosa     2       487.483094     15.157406       15.287442          75.000000  12.610000              Balanced  18.848967   UnderPaid    0.398952
20   00-0035647           M.Sweat     2       486.089692     14.036024       17.432986          81.266667  24.500000            Every-Down  22.116667  FairlyPaid    2.098058
21   00-0035402      C.Granderson     2       478.535763      9.799765       22.292313          84.600000  13.000000          Run Defender  16.351323  FairlyPaid    0.454684
22   00-0039138          K.Turner     2       477.075083     12.401885       18.383600          92.600000   1.347868            Every-Down  21.307247   UnderPaid   -1.210430
23   00-0037235          T.Walker     2       468.707920      7.687445       13.207010          76.866667   9.343156           Replacement  13.065230  FairlyPaid   -0.067886
24   00-0036479            K.Paye     2       464.344956     10.408221       18.267432          76.800000  16.000000          Run Defender  15.379484  FairlyPaid    0.883391
25   00-0031576           Z.Smith     2       455.817710     13.887956       15.051395          78.066667   4.250000              Balanced  16.439451   UnderPaid   -0.795709
26   00-0031935           P.Smith     2       408.708157     11.092923       15.750813          73.600000   1.255000              Balanced  12.854741   UnderPaid   -1.223701
27   00-0031364         J.Clowney     2       401.295002     10.007731       15.575007          62.600000   3.500000              Balanced  12.290652   UnderPaid   -0.902886
28   00-0032146          B.Dupree     2       398.717666      9.413918       12.263166          62.600000   4.005000           Replacement   9.070901   UnderPaid   -0.830720
29   00-0035279         C.Omenihu     2       397.095550     10.755454       12.344779          69.200000   4.000000           Replacement   8.978327  FairlyPaid   -0.831435
30   00-0036413          D.Taylor     2       387.033283     12.292596       15.797638          63.400000   4.750000              Balanced  11.205434   UnderPaid   -0.724258
31   00-0036192         A.Epenesa     2       384.991771     14.279404       15.661758          51.133333   6.000000              Balanced  11.050089   UnderPaid   -0.545630
32   00-0036480       D.Odeyingbo     2       379.757100     10.281614       14.475990          62.533333  16.000000           Replacement   7.988825    OverPaid    0.883391
33   00-0036378           M.Danna     2       374.417636      8.403471       15.589050          58.733333   8.000000              Balanced  10.245471  FairlyPaid   -0.259826
34   00-0027865          B.Graham     3       346.978335     13.997839       17.375902          57.000000   2.444444            Every-Down  19.353851   UnderPaid   -0.612638
