      player_id         player_name  Tier  Final_agg_score  agg_PR_score  agg_RunD_score  Situational_score        apy                  Role    Est_APY    Pay_flag  Tier_APY_Z
0    00-0034285            Z.Sieler     0       739.827941      9.303475       35.425317          98.000000  21.333333            Every-Down  33.750556   UnderPaid   -0.719845
1    00-0032378           D.Buckner     0       727.365164      9.852557       41.633423          92.800000  23.000000            Every-Down  26.004968  FairlyPaid   -0.421978
2    00-0032762             C.Jones     0       726.077161      9.137067       19.670043         144.000000  31.750000  Pass-Rush Specialist  21.146128    OverPaid    1.141822
3    00-0031933          L.Williams     1       620.581467      8.742308       35.164730          63.333333  21.500000            Every-Down  26.399712  FairlyPaid    0.535279
4    00-0035683          D.Lawrence     1       612.021507      6.705917       21.623578          98.000000  22.500000           Replacement  15.193633    OverPaid    0.662896
5    00-0035248             Z.Allen     1       585.426371     10.509735       31.277652          74.866667  25.500000            Every-Down  23.165149  FairlyPaid    1.045744
6    00-0031254             D.Autry     1       580.310282     12.315399       25.900890          93.733333   7.500000              Balanced  20.001867   UnderPaid   -1.251348
7    00-0026190          C.Campbell     1       549.511393      9.000093       34.853687          58.666667   5.500000            Every-Down  19.860670   UnderPaid   -1.506581
8    00-0034773               V.Vea     1       526.193205      8.094997       30.446702          69.733333  17.750000            Every-Down  17.715202  FairlyPaid    0.056718
9    00-0035230            E.Oliver     1       517.818128      8.200697       27.025490          71.533333  17.000000              Balanced  14.934246  FairlyPaid   -0.038994
10   00-0034800              B.Hill     1       501.442520      6.687988       30.450364          62.133333  11.000000          Run Defender  12.821333  FairlyPaid   -0.804691
11   00-0035231           C.Wilkins     1       471.795518      7.293468       32.755134          59.666667  27.500000          Run Defender  10.555896    OverPaid    1.300977
12   00-0034805    J.Franklin-Myers     2       455.985346      9.515202       27.453764          48.666667  21.000000              Balanced  22.473520  FairlyPaid    1.220481
13   00-0027969          Ca.Heyward     2       446.862378      5.816096       22.461171          58.800000  14.500000           Replacement  14.495155  FairlyPaid    0.427974
14   00-0034333             D.Payne     2       446.579692      6.689327       29.487772          64.000000  22.500000          Run Defender  20.265833  FairlyPaid    1.403368
15   00-0032387             Ja.Reed     2       438.062340      7.136909       29.130359          62.400000   7.333333          Run Defender  19.440747   UnderPaid   -0.445817
16   00-0033051          D.Onyemata     2       437.533109      6.600043       31.162391          42.400000  10.500000          Run Defender  19.389480   UnderPaid   -0.059723
17   00-0035718          Q.Williams     2       436.263948      4.802360       14.411738          86.933333  24.000000           Replacement  13.761811    OverPaid    1.586254
18   00-0033523             J.Allen     2       431.821365      7.660014       32.031812          52.733333  17.000000          Run Defender  18.836177  FairlyPaid    0.732784
19   00-0033952           G.Stewart     2       427.933847      4.436625       39.356574          25.666667  13.000000          Run Defender  18.459588   UnderPaid    0.245087
20   00-0033131           M.Collins     2       419.279536      6.706988       24.716192          54.000000  10.000000           Replacement  12.586596  FairlyPaid   -0.120686
21   00-0032416         Q.Jefferson     2       408.313995      8.609951       27.290124          48.200000   0.315000              Balanced  17.572805   UnderPaid   -1.301522
22   00-0037075             D.Wyatt     2       408.179533      7.812174       31.193480          27.400000   3.215296          Run Defender  16.545964   UnderPaid   -0.947906
23   00-0032889          A.Robinson     2       405.520187      2.602168       41.515479          13.333333   7.500000          Run Defender  16.288350   UnderPaid   -0.425496
24   00-0033381            A.Butler     2       401.867146      6.811879       30.548515          47.600000   5.500000          Run Defender  15.934476   UnderPaid   -0.669345
25   00-0039063            C.Kancey     2       398.839198      9.450549       28.817065          45.200000   3.623368              Balanced  16.598776   UnderPaid   -0.898152
